"Name";"Trikotnummer";"Position";"Alter";"Groesse";"Gewicht"
"Barrington Wade";54;"LB";24;185,42;105,233344
"Kadofi Wright";46;"LB";NA;190,5;104,32616
"Essang Bassey";39;"CB";23;177,8;86,18248
"Ronald Darby";21;"CB";28;180,34;87,543256
"Faion Hicks";NA;"CB";NA;177,8;87,089664
"Donnie Lewis";NA;"CB";25;182,88;86,18248
"Damarri Mathis";NA;"CB";23;180,34;88,45044
"Ja'Quan McMillian";35;"CB";NA;177,8;73,028312
"Michael Ojemudia";13;"CB";24;185,42;90,7184
"Pat Surtain II";2;"CB";22;187,96;91,625584
"K'Waun Williams";NA;"CB";30;175,26;83,91452
"Kareem Jackson";22;"S";34;177,8;83,007336
"Jamar Johnson";49;"S";22;185,42;89,357624
"P.J. Locke";37;"S";25;177,8;91,625584
"J.R. Reed";NA;"S";26;185,42;87,996848
"Justin Simmons";31;"S";28;187,96;91,625584
"Caden Sterns";30;"S";22;185,42;93,893544
"Delarrin Turner-Yell";NA;"S";NA;180,34;90,7184
"Brandon McManus";8;"PK";30;190,5;91,171992
"Sam Martin";6;"P";32;185,42;95,707912
"Corliss Waitman";NA;"P";26;187,96;95,25432
"Jacob Bobenmoyer";46;"LS";25;187,96;106,59412
"Shane Buechele";6;"QB";24;182,88;94,347136
"Dustin Crum";NA;"QB";23;190,5;93,893544
"Anthony Gordon";8;"QB";25;187,96;91,171992
"Chad Henne";4;"QB";36;190,5;97,52228
"Patrick Mahomes";15;"QB";26;190,5;102,965384
"Jerrion Ealy";NA;"RB";NA;175,26;83,91452
"Clyde Edwards-Helaire";25;"RB";23;170,18;92,98636
"Tayon Fleet-Davis";NA;"RB";NA;182,88;99,79024
"Derrick Gore";40;"RB";27;177,8;93,893544
"Ronald Jones II";27;"RB";24;180,34;94,347136
"Brenden Knox";NA;"RB";23;180,34;99,79024
"Isaih Pacheco";NA;"RB";NA;180,34;97,52228
"Michael Burton";45;"FB";30;182,88;110,222856
"Omar Bayless";NA;"WR";25;185,42;95,25432
"Corey Coleman";NA;"WR";27;180,34;83,91452
"Daurice Fountain";82;"WR";26;185,42;96,161504
"Josh Gordon";19;"WR";31;190,5;107,954896
"Mecole Hardman";17;"WR";24;177,8;81,64656
"Skyy Moore";NA;"WR";21;177,8;88,45044
"Cornell Powell";14;"WR";24;182,88;92,98636
"Justyn Ross";NA;"WR";NA;193,04;92,98636
"Mathew Sexton";NA;"WR";24;180,34;79,3786
"JuJu Smith-Schuster";19;"WR";25;185,42;97,52228
"Marquez Valdes-Scantling";83;"WR";27;193,04;93,439952
"Justin Watson";NA;"WR";26;190,5;97,52228
"Blake Bell";81;"TE";30;198,12;117,93392
"Matt Bushman";NA;"TE";26;195,58;111,13004
"Jody Fortson";88;"TE";26;198,12;108,86208
"Jordan Franks";NA;"TE";26;193,04;108,86208
"Noah Gray";83;"TE";23;193,04;110,222856
"Travis Kelce";87;"TE";32;195,58;116,119552
"Kehinde Oginni";NA;"TE";NA;200,66;NA
"Mark Vital";80;"TE";24;195,58;113,398
"Creed Humphrey";52;"C";22;195,58;140,159928
"Darryl Williams";NA;"C";24;187,96;137,891968
"Nick Allegretti";73;"G";26;193,04;142,88148
"Mike Caliendo";NA;"G";NA;193,04;136,0776
"Darian Kinnard";NA;"G";NA;195,58;156,48924
"Trey Smith";65;"G";22;195,58;149,231768
"Joe Thuney";62;"G";29;195,58;137,891968
"Andrew Wylie";77;"G";27;198,12;140,61352
"Orlando Brown Jr";57;"OT";26;203,2;164,653896
"Geron Christian Sr";NA;"OT";25;198,12;142,88148
